,Date,Prediction,Actual,Signal,Current
352,2020-03-16,2608.979950419922,2711.02002,0,1000
353,2020-03-17,2279.893264958008,2386.129883,0,1000
354,2020-03-18,2416.179183553711,2529.189941,0,1000
355,2020-03-19,2289.172020302246,2398.100098,0,1000
356,2020-03-20,2295.154022638672,2409.389893,0,1000
357,2020-03-23,2195.438804751465,2304.919922,0,1000
358,2020-03-24,2134.8696743388673,2237.399902,0,1000
359,2020-03-25,2344.3069227875976,2447.330078,0,1000
360,2020-03-26,2373.898193765625,2475.560059,0,1000
361,2020-03-27,2529.118606208008,2630.070068,0,1000
362,2020-03-30,2438.426872550293,2541.469971,0,1000
363,2020-03-31,2527.3449474711915,2626.649902,0,1000
364,2020-04-01,2484.0685120722655,2584.590088,0,1000
365,2020-04-02,2367.1214904785156,2470.5,0,1000
366,2020-04-03,2403.3895946879884,2526.899902,0,1000
367,2020-04-06,2356.696792258789,2488.649902,0,1000
368,2020-04-07,2534.1583560722656,2663.679932,0,1000
369,2020-04-08,2534.712173352539,2659.409912,0,1000
370,2020-04-09,2629.083076008301,2749.97998,0,1000
371,2020-04-13,2676.3944393378906,2789.820068,0,1000
372,2020-04-14,2648.7129365888673,2761.629883,0,1000
373,2020-04-15,2731.2161564121093,2846.060059,0,1000
374,2020-04-16,2656.374053533203,2783.360107,0,1000
375,2020-04-17,2671.470916919922,2799.550049,0,1000
376,2020-04-20,2741.6747287998046,2874.560059,0,1000
377,2020-04-21,2686.9532774785157,2823.159912,0,1000
378,2020-04-22,2604.6780704746093,2736.560059,0,1000
379,2020-04-23,2665.1259311923827,2799.310059,0,1000
380,2020-04-24,2661.2303010751953,2797.800049,0,1000
381,2020-04-27,2704.7662656347657,2836.73999,0,1000
382,2020-04-28,2744.438659199219,2878.47998,0,1000
383,2020-04-29,2726.7269291328125,2863.389893,0,1000
384,2020-04-30,2804.7085726220703,2939.51001,0,1000
385,2020-05-01,2785.134621025879,2912.429932,0,1000
386,2020-05-04,2694.929641786133,2830.709961,0,1000
387,2020-05-05,2703.086227182617,2842.73999,0,1000
388,2020-05-06,2732.439147542969,2868.439941,0,1000
389,2020-05-07,2718.979995852539,2848.419922,0,1000
390,2020-05-08,2747.634551595703,2881.189941,0,1000
391,2020-05-11,2795.1957399179687,2929.800049,0,1000
392,2020-05-12,2798.8308559169923,2930.189941,0,1000
393,2020-05-13,2734.501266291992,2870.120117,0,1000
394,2020-05-14,2683.9268798828125,2820.0,0,1000
395,2020-05-15,2722.758285522461,2852.5,0,1000
396,2020-05-18,2731.262451,2863.699951,0,1000
397,2020-05-19,2823.071807751953,2953.909912,0,1000
398,2020-05-20,2788.561477254883,2922.939941,0,1000
399,2020-05-21,2838.8971095634765,2971.610107,0,1000
